# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1709956.18	5829293.71	1190	2043	522.880792617797852	1e30
1709958.30	5829306.02	1190	2044	522.848904132843018	1e30
1709960.42	5829318.34	1190	2045	523.389935493469238	1e30
1709962.55	5829330.66	1190	2046	523.384571075439453	1e30
1709964.67	5829342.97	1190	2047	522.902429103851318	1e30
1709966.79	5829355.29	1190	2048	522.562503814697266	1e30
1709973.16	5829392.23	1190	2051	523.863852024078369	1e30
1709975.28	5829404.55	1190	2052	524.1284966468811	1e30
1709977.41	5829416.86	1190	2053	524.035632610321045	1e30
1709979.53	5829429.18	1190	2054	523.523032665252686	1e30
1709981.65	5829441.49	1190	2055	522.230803966522217	1e30
1709983.77	5829453.81	1190	2056	521.867692470550537	1e30
1709985.90	5829466.12	1190	2057	522.01187610626221	1e30
1709988.02	5829478.44	1190	2058	522.539794445037842	1e30
1709994.39	5829515.38	1190	2061	521.56829833984375	1e30
1709996.51	5829527.70	1190	2062	521.382927894592285	1e30
1709998.63	5829540.01	1190	2063	521.437942981719971	1e30
1710000.76	5829552.33	1190	2064	522.800624370574951	1e30
1710002.88	5829564.65	1190	2065	524.210214614868164	1e30
1710005.00	5829576.96	1190	2066	523.645579814910889	1e30
1710007.13	5829589.28	1190	2067	523.154258728027344	1e30
1710009.25	5829601.59	1190	2068	523.225724697113037	1e30
1710011.37	5829613.91	1190	2069	523.225605487823486	1e30
1710013.49	5829626.22	1190	2070	523.447871208190918	1e30
1710015.62	5829638.54	1190	2071	523.998022079467773	1e30
1710017.74	5829650.85	1190	2072	524.59037303924561	1e30
1710024.11	5829687.80	1190	2075	523.565411567687988	1e30
1710026.23	5829700.11	1190	2076	522.898018360137939	1e30
1710028.36	5829712.43	1190	2077	523.091733455657959	1e30
1710030.48	5829724.74	1190	2078	523.266911506652832	1e30
1710032.60	5829737.06	1190	2079	523.0175256729126	1e30
1710034.72	5829749.37	1190	2080	522.593259811401367	1e30
1710036.85	5829761.69	1190	2081	521.88766002655029	1e30
1710038.97	5829774.00	1190	2082	521.381855010986328	1e30
1709973.63	5828365.00	1197	1970	524.9478816986084	1e30
1709998.26	5828360.76	1198	1970	524.54108	1e30
1710001.67	5828233.36	1199	1960	525.07251501083374	1e30
1710022.89	5828356.51	1199	1970	524.411320686340332	1e30
1710107.81	5828849.12	1199	2010	524.279952049255371	1e30
1710005.07	5828105.96	1200	1950	525.76166391372681	1e30
1710007.19	5828118.28	1200	1951	525.91085433959961	1e30
1710009.31	5828130.60	1200	1952	526.1390209197998	1e30
1710011.44	5828142.91	1200	1953	525.976598262786865	1e30
1710013.56	5828155.23	1200	1954	525.527358055114746	1e30
1710015.68	5828167.54	1200	1955	525.114715099334717	1e30
1710017.81	5828179.86	1200	1956	525.191605091094971	1e30
1710019.93	5828192.17	1200	1957	525.701940059661865	1e30
1710022.05	5828204.49	1200	1958	525.872468948364258	1e30
1710024.17	5828216.80	1200	1959	525.4894495010376	1e30
1710026.30	5828229.12	1200	1960	525.147974491119385	1e30
1710028.42	5828241.43	1200	1961	525.24071931838989	1e30
1710030.54	5828253.75	1200	1962	525.575637817382813	1e30
1710032.67	5828266.06	1200	1963	525.672852993011475	1e30
1710034.79	5828278.38	1200	1964	525.156497955322266	1e30
1710036.91	5828290.69	1200	1965	524.83445405960083	1e30
1710039.03	5828303.01	1200	1966	524.670183658599854	1e30
1710041.16	5828315.32	1200	1967	524.50078725814819	1e30
1710043.28	5828327.64	1200	1968	524.466514587402344	1e30
1710045.40	5828339.95	1200	1969	524.508833885192871	1e30
1710047.53	5828352.27	1200	1970	524.246573448181152	1e30
1710049.65	5828364.58	1200	1971	523.787617683410645	1e30
1710051.77	5828376.90	1200	1972	523.78159761428833	1e30
