! Landmark Zmap grid file name:   .\DATA\NStopo.dat
! Created/converted by Oasis Montaj, Geosoft Inc.
@.\DATA\NStopo.dat  ,GRID,  4
        20,   1.0E+30,       ,     7,       1
       208,       435,  -630000.0000,   672000.0000,  2000000.0000,  2621000.0000,
        0.0000,        0.0000,        0.0000,
@
         -67.2144775         -67.5697021         -67.1472168         -69.0812378
         -73.1813660         -74.3084717         -72.7660828         -72.0339966
         -70.5137329         -68.5551758         -66.1948547         -62.7756653
         -59.6696167         -58.6884155         -57.3970947         -59.0000000
         -58.8182068         -57.4670410         -59.6315002         -68.9346924
         -70.8494568         -66.6580505         -62.9696045         -60.5323181
         -60.3199463         -60.0498962         -59.5284424         -59.0131226
         -58.5066223         -57.6758118         -57.1381531         -56.8743591
         -56.3442078         -56.3123779         -56.0000000         -55.5170898
         -55.0000000         -55.0000000         -54.5434875         -54.0000000
         -53.5066223         -53.2117920         -53.0000000         -52.8182068
         -52.9616089         -52.8182068         -51.8182068         -51.3199463
         -51.0000000         -50.5066223         -50.0600891         -50.0000000
         -49.4619751         -49.2466736         -50.0841980         -50.8132935
         -50.9210510         -50.1866760         -49.9583740         -49.5066223
         -49.0000000         -47.8182068         -47.1775208         -46.8182068
         -46.5469055         -46.3199463         -45.8182068         -45.4497070
         -45.6275024         -44.1513977         -41.3331909         -40.4933472
         -40.6884155         -39.8156433         -38.5066223         -36.5066223
         -35.5066223         -34.5066223         -33.6884155         -32.6468201
         -31.5066223         -29.8091736         -27.8386841         -25.9346924
         -27.5176697         -29.0621948         -27.3331909         -23.7161865
         -22.7285767         -23.6800537         -26.1625977         -28.3457031
         -26.8751221         -25.7496643         -26.9734802         -29.6751709
         -30.1734009         -31.6751709         -31.0181580         -30.3278503
         -31.1248779         -31.9951172         -30.8751221         -30.1866760
         -34.3066711         -36.5691833         -37.9867249         -39.4933472
         -40.0000000         -40.4933472         -41.2884521         -42.4933472
         -44.9867249         -46.4933472         -47.4933472         -48.4933472
         -49.5577393         -50.3115540         -51.0639038         -51.9024658
         -53.3115540         -53.6315002         -53.9881592         -54.0000000
         -53.8040161         -53.3199463         -52.8584290         -52.2533264
         -51.7940369         -51.5066223         -51.0360107         -51.0000000
         -51.5012817         -52.0000000         -52.3115540         -53.1557922
         -53.7510681         -54.0000000         -54.3477173         -54.3199463
         -54.0000000         -54.0000000         -54.0000000         -54.0000000
         -54.0810242         -54.0000000         -53.7341614         -53.1866760
         -53.0000000         -53.2075195         -53.0000000         -51.6884155
         -51.4900208         -52.4933472         -53.4933472         -54.0000000
         -54.4933472         -54.6307678         -54.3684692         -54.0000000
         -54.0855103         -54.0000000         -54.0000000         -53.9428101
         -54.0000000         -54.4933472         -54.8587952         -55.3115540
         -55.8132935         -56.4933472         -57.0000000         -57.5670776
         -58.3115540         -59.6315002         -59.8369751         -59.6315002
