# Petrel Points with attributes
# Unit in X and Y direction: m
# Unit in depth: m
VERSION 1
BEGIN HEADER
X
Y
Z
END HEADER
373785.38 4543258.05 -5160.89 
373780.32 4543269.48 -5160.67 
373775.25 4543280.90 -5160.44 
373770.18 4543292.33 -5160.33 
373765.11 4543303.76 -5160.22 
373760.05 4543315.19 -5160.11 
373754.98 4543326.61 -5160.00 
373749.91 4543338.04 -5160.00 
373744.84 4543349.47 -5160.00 
373739.78 4543360.89 -5160.00 
373734.71 4543372.32 -5160.00 
373729.64 4543383.75 -5160.00 
373724.57 4543395.17 -5160.00 
373719.51 4543406.60 -5160.00 
373714.44 4543418.03 -5160.00 
373709.37 4543429.45 -5160.00 
373704.31 4543440.88 -5160.00 
373699.24 4543452.31 -5160.00 
373694.17 4543463.74 -5160.00 
373689.10 4543475.16 -5160.00 
373684.04 4543486.59 -5160.00 
373678.97 4543498.02 -5160.00 
373673.90 4543509.44 -5160.00 
373668.83 4543520.87 -5159.89 
373663.77 4543532.30 -5159.78 
373658.70 4543543.72 -5159.56 
373653.63 4543555.15 -5159.33 
373648.57 4543566.58 -5159.11 
373643.50 4543578.00 -5158.89 
373638.43 4543589.43 -5158.67 
373633.36 4543600.86 -5158.44 
373628.30 4543612.29 -5158.22 
373623.23 4543623.71 -5158.00 
373618.16 4543635.14 -5157.78 
373613.09 4543646.57 -5157.56 
373608.03 4543657.99 -5157.33 
373602.96 4543669.42 -5157.11 
373597.89 4543680.85 -5156.89 
373592.82 4543692.27 -5156.67 
373587.76 4543703.70 -5156.33 
373582.69 4543715.13 -5156.00 
373577.62 4543726.55 -5155.78 
373572.56 4543737.98 -5155.56 
373567.49 4543749.41 -5155.33 
373562.42 4543760.84 -5155.11 
373557.35 4543772.26 -5154.78 
373552.29 4543783.69 -5154.44 
373547.22 4543795.12 -5154.00 
373542.15 4543806.54 -5153.56 
373537.08 4543817.97 -5153.11 
373532.02 4543829.40 -5152.67 
373526.95 4543840.82 -5152.22 
373521.88 4543852.25 -5151.78 
373516.81 4543863.68 -5151.33 
373511.75 4543875.11 -5150.89 
373506.68 4543886.53 -5150.44 
373501.61 4543897.96 -5150.00 
373496.55 4543909.39 -5149.67 
373491.48 4543920.81 -5149.33 
373486.41 4543932.24 -5149.00 
373481.34 4543943.67 -5148.67 
373476.28 4543955.09 -5148.44 
373471.21 4543966.52 -5148.22 
373466.14 4543977.95 -5148.11 
373461.07 4543989.37 -5148.00 
373456.01 4544000.80 -5148.00 
373450.94 4544012.23 -5148.00 
373445.87 4544023.66 -5147.89 
373440.81 4544035.08 -5147.78 
373435.74 4544046.51 -5147.56 
373430.67 4544057.94 -5147.33 
373425.60 4544069.36 -5147.11 
373420.54 4544080.79 -5146.89 
373415.47 4544092.22 -5146.67 
373410.40 4544103.64 -5146.44 
373405.33 4544115.07 -5146.22 
373400.27 4544126.50 -5146.00 
373395.20 4544137.92 -5145.78 
373390.13 4544149.35 -5145.56 
373385.06 4544160.78 -5145.33 
373380.00 4544172.21 -5145.11 
373374.93 4544183.63 -5144.89 
373369.86 4544195.06 -5144.67 
373364.80 4544206.49 -5144.44 
373359.73 4544217.91 -5144.22 
373354.66 4544229.34 -5144.11 
373349.59 4544240.77 -5144.00 
373344.53 4544252.19 -5144.00 
373339.46 4544263.62 -5144.00 
373334.39 4544275.05 -5144.00 
373329.32 4544286.47 -5144.00 
373324.26 4544297.90 -5144.00 
373319.19 4544309.33 -5144.00 
373314.12 4544320.76 -5144.00 
373309.05 4544332.18 -5144.00 
373303.99 4544343.61 -5144.00 
373298.92 4544355.04 -5144.00 
373293.85 4544366.46 -5144.00 
373288.79 4544377.89 -5144.00 
373283.72 4544389.32 -5143.89 
373278.65 4544400.74 -5143.78 
373273.58 4544412.17 -5143.44 
373268.52 4544423.60 -5143.11 
373263.45 4544435.03 -5142.78 
373258.38 4544446.45 -5142.44 
373253.31 4544457.88 -5142.11 
373248.25 4544469.31 -5141.78 
373243.18 4544480.73 -5141.44 
373238.11 4544492.16 -5141.11 
373233.05 4544503.59 -5140.67 
373227.98 4544515.01 -5140.22 
373222.91 4544526.44 -5139.78 
373217.84 4544537.87 -5139.33 
373212.78 4544549.29 -5138.78 
373207.71 4544560.72 -5138.22 
373202.64 4544572.15 -5137.56 
373197.57 4544583.58 -5136.89 
373192.51 4544595.00 -5136.33 
373187.44 4544606.43 -5135.78 
373182.37 4544617.86 -5135.44 
373177.30 4544629.28 -5135.11 
373172.24 4544640.71 -5134.78 
373167.17 4544652.14 -5134.44 
373162.10 4544663.56 -5134.11 
373157.04 4544674.99 -5133.78 
373151.97 4544686.42 -5133.44 
373146.90 4544697.84 -5133.11 
373141.83 4544709.27 -5132.89 
373136.77 4544720.70 -5132.67 
373131.70 4544732.13 -5132.44 
373126.63 4544743.55 -5132.22 
373121.56 4544754.98 -5132.11 
373116.50 4544766.41 -5132.00 
373111.43 4544777.83 -5132.00 
373106.36 4544789.26 -5132.00 
373101.29 4544800.69 -5132.00 
373096.23 4544812.11 -5132.00 
373091.16 4544823.54 -5132.00 
373086.09 4544834.97 -5132.00 
373081.03 4544846.40 -5132.00 
373075.96 4544857.82 -5132.00 
373070.89 4544869.25 -5132.00 
373065.82 4544880.68 -5132.00 
373060.76 4544892.10 -5132.00 
373055.69 4544903.53 -5132.00 
373050.62 4544914.96 -5132.00 
373045.55 4544926.38 -5132.00 
373040.49 4544937.81 -5132.00 
373035.42 4544949.24 -5132.00 
373030.35 4544960.66 -5132.00 
373025.29 4544972.09 -5132.00 
373020.22 4544983.52 -5132.00 
373015.15 4544994.95 -5132.00 
373010.08 4545006.37 -5132.00 
373005.02 4545017.80 -5132.00 
372999.95 4545029.23 -5132.00 
372994.88 4545040.65 -5132.00 
372989.81 4545052.08 -5132.00 
372984.75 4545063.51 -5132.00 
372979.68 4545074.93 -5132.00 
372974.61 4545086.36 -5132.00 
372969.54 4545097.79 -5131.89 
372964.48 4545109.21 -5131.78 
372959.41 4545120.64 -5131.56 
372954.34 4545132.07 -5131.33 
372949.28 4545143.50 -5131.11 
372944.21 4545154.92 -5130.89 
372939.14 4545166.35 -5130.56 
372934.07 4545177.78 -5130.22 
372929.01 4545189.20 -5129.89 
372923.94 4545200.63 -5129.56 
372918.87 4545212.06 -5129.22 
372913.80 4545223.48 -5128.89 
372908.74 4545234.91 -5128.44 
372903.67 4545246.34 -5128.00 
372898.60 4545257.76 -5127.56 
372893.54 4545269.19 -5127.11 
372888.47 4545280.62 -5126.56 
372883.40 4545292.05 -5126.00 
372878.33 4545303.47 -5125.44 
372873.27 4545314.90 -5124.89 
372868.20 4545326.33 -5124.44 
372863.13 4545337.75 -5124.00 
372858.06 4545349.18 -5123.56 
372853.00 4545360.61 -5123.11 
372847.93 4545372.03 -5122.78 
372842.86 4545383.46 -5122.44 
372837.79 4545394.89 -5122.11 
372832.73 4545406.32 -5121.78 
372827.66 4545417.74 -5121.44 
372822.59 4545429.17 -5121.11 
372817.53 4545440.60 -5120.89 
372812.46 4545452.02 -5120.67 
372807.39 4545463.45 -5120.44 
372802.32 4545474.88 -5120.22 
372797.26 4545486.30 -5120.11 
372792.19 4545497.73 -5120.00 
372787.12 4545509.16 -5120.00 
372782.05 4545520.58 -5120.00 
372776.99 4545532.01 -5120.00 
372771.92 4545543.44 -5120.00 
372766.85 4545554.87 -5120.00 
372761.78 4545566.29 -5120.00 
372756.72 4545577.72 -5120.00 
372751.65 4545589.15 -5120.00 
372746.58 4545600.57 -5120.00 
372741.52 4545612.00 -5120.00 
372736.45 4545623.43 -5120.00 
372731.38 4545634.85 -5120.00 
372726.31 4545646.28 -5120.00 
372721.25 4545657.71 -5120.00 
372716.18 4545669.13 -5119.89 
372711.11 4545680.56 -5119.78 
372706.04 4545691.99 -5119.67 
372700.98 4545703.42 -5119.56 
372695.91 4545714.84 -5119.44 
372690.84 4545726.27 -5119.33 
372685.78 4545737.70 -5119.11 
372680.71 4545749.12 -5118.89 
372675.64 4545760.55 -5118.67 
372670.57 4545771.98 -5118.44 
372665.51 4545783.40 -5118.22 
372660.44 4545794.83 -5118.00 
372655.37 4545806.26 -5117.78 
372650.30 4545817.69 -5117.56 
372645.24 4545829.11 -5117.33 
372640.17 4545840.54 -5117.11 
372635.10 4545851.97 -5116.89 
372630.03 4545863.39 -5116.67 
372624.97 4545874.82 -5116.56 
372619.90 4545886.25 -5116.44 
372614.83 4545897.67 -5116.33 
372609.77 4545909.10 -5116.22 
372604.70 4545920.53 -5116.11 
372599.63 4545931.95 -5116.00 
372594.56 4545943.38 -5116.00 
372589.50 4545954.81 -5116.00 
372584.43 4545966.24 -5115.89 
372579.36 4545977.66 -5115.78 
372574.29 4545989.09 -5115.56 
372569.23 4546000.52 -5115.33 
372564.16 4546011.94 -5115.11 
372559.09 4546023.37 -5114.89 
372554.02 4546034.80 -5114.44 
372548.96 4546046.22 -5114.00 
372543.89 4546057.65 -5113.56 
372538.82 4546069.08 -5113.11 
372533.76 4546080.50 -5112.67 
372528.69 4546091.93 -5112.22 
372523.62 4546103.36 -5111.78 
372518.55 4546114.79 -5111.33 
372513.49 4546126.21 -5110.89 
372508.42 4546137.64 -5110.44 
372503.35 4546149.07 -5110.00 
372498.28 4546160.49 -5109.56 
372493.22 4546171.92 -5109.22 
372488.15 4546183.35 -5108.89 
372483.08 4546194.77 -5108.56 
372478.02 4546206.20 -5108.22 
372472.95 4546217.63 -5107.89 
372467.88 4546229.05 -5107.56 
372462.81 4546240.48 -5107.33 
372457.75 4546251.91 -5107.11 
372452.68 4546263.34 -5106.89 
372447.61 4546274.76 -5106.67 
372442.54 4546286.19 -5106.44 
372437.48 4546297.62 -5106.22 
372432.41 4546309.04 -5106.00 
372427.34 4546320.47 -5105.78 
372422.27 4546331.90 -5105.56 
372417.21 4546343.32 -5105.33 
372412.14 4546354.75 -5105.11 
372407.07 4546366.18 -5104.89 
372402.01 4546377.61 -5104.67 
372396.94 4546389.03 -5104.44 
372391.87 4546400.46 -5104.33 
372386.80 4546411.89 -5104.22 
372381.74 4546423.31 -5104.11 
372376.67 4546434.74 -5104.00 
372371.60 4546446.17 -5104.00 
372366.53 4546457.59 -5104.00 
372361.47 4546469.02 -5104.00 
372356.40 4546480.45 -5104.00 
372351.33 4546491.87 -5104.00 
372346.26 4546503.30 -5104.00 
372341.20 4546514.73 -5104.00 
372336.13 4546526.16 -5104.00 
372331.06 4546537.58 -5104.00 
372326.00 4546549.01 -5104.00 
372320.93 4546560.44 -5104.00 
372315.86 4546571.86 -5104.00 
372310.79 4546583.29 -5104.00 
372305.73 4546594.72 -5104.00 
372300.66 4546606.14 -5104.00 
372295.59 4546617.57 -5104.00 
372290.52 4546629.00 -5104.00 
372285.46 4546640.42 -5104.00 
372280.39 4546651.85 -5104.00 
372275.32 4546663.28 -5104.00 
372270.26 4546674.71 -5104.00 
372265.19 4546686.13 -5104.00 
372260.12 4546697.56 -5104.00 
372255.05 4546708.99 -5104.00 
372249.99 4546720.41 -5103.89 
372244.92 4546731.84 -5103.78 
372239.85 4546743.27 -5103.67 
372234.78 4546754.69 -5103.56 
372229.72 4546766.12 -5103.44 
372224.65 4546777.55 -5103.33 
372219.58 4546788.98 -5103.11 
372214.51 4546800.40 -5102.89 
372209.45 4546811.83 -5102.67 
372204.38 4546823.26 -5102.44 
372199.31 4546834.68 -5102.22 
372194.25 4546846.11 -5102.00 
372189.18 4546857.54 -5101.56 
372184.11 4546868.96 -5101.11 
372179.04 4546880.39 -5100.67 
372173.98 4546891.82 -5100.22 
372168.91 4546903.24 -5099.78 
372163.84 4546914.67 -5099.33 
372158.77 4546926.10 -5099.00 
372153.71 4546937.53 -5098.67 
372148.64 4546948.95 -5098.33 
372143.57 4546960.38 -5098.00 
372138.50 4546971.81 -5097.67 
372133.44 4546983.23 -5097.33 
372128.37 4546994.66 -5096.89 
372123.30 4547006.09 -5096.44 
372118.24 4547017.51 -5096.00 
372113.17 4547028.94 -5095.56 
372108.10 4547040.37 -5095.11 
372103.03 4547051.79 -5094.67 
372097.97 4547063.22 -5094.44 
372092.90 4547074.65 -5094.22 
372087.83 4547086.08 -5094.00 
372082.76 4547097.50 -5093.78 
372077.70 4547108.93 -5093.56 
372072.63 4547120.36 -5093.33 
372067.56 4547131.78 -5093.11 
372062.50 4547143.21 -5092.89 
372057.43 4547154.64 -5092.67 
372052.36 4547166.06 -5092.44 
372047.29 4547177.49 -5092.22 
372042.23 4547188.92 -5092.00 
372037.16 4547200.34 -5092.00 
372032.09 4547211.77 -5092.00 
372027.02 4547223.20 -5092.00 
372021.96 4547234.63 -5092.00 
372016.89 4547246.05 -5092.00 
372011.82 4547257.48 -5092.00 
372006.75 4547268.91 -5092.00 
372001.69 4547280.33 -5092.00 
371996.62 4547291.76 -5092.00 
371991.55 4547303.19 -5092.00 
371986.49 4547314.61 -5092.00 
371981.42 4547326.04 -5092.00 
371976.35 4547337.47 -5092.00 
371971.28 4547348.90 -5092.00 
371966.22 4547360.32 -5092.00 
371961.15 4547371.75 -5092.00 
371956.08 4547383.18 -5092.00 
371951.01 4547394.60 -5092.00 
371945.95 4547406.03 -5092.00 
371940.88 4547417.46 -5092.00 
371935.81 4547428.88 -5092.00 
371930.74 4547440.31 -5092.00 
371925.68 4547451.74 -5091.89 
371920.61 4547463.16 -5091.78 
371915.54 4547474.59 -5091.56 
371910.48 4547486.02 -5091.33 
371905.41 4547497.45 -5091.11 
371900.34 4547508.87 -5090.89 
371895.27 4547520.30 -5090.67 
371890.21 4547531.73 -5090.44 
371885.14 4547543.15 -5090.22 
371880.07 4547554.58 -5090.00 
